# This collection is a creation of my own.
# I could not find a free collection of Ensemble IDs, so this is explicitly compatible with the MIT license.
# Please help me to complete this free collection.
# EId;Name;Block;Center Frequency;Allotment
10BC;DR Deutschland;5C;178.352 MHz;unknown
10EC;Radio fuer NRW;11D;222.064 MHz;unknown
6001;DAB+ VRT;12A;223.936 MHz;unknown
6002;DAB+ VLAANDEREN;11A;216.928 MHz;unknown
6005;LIEGE 2;8D;183.648 MHz;unknown
6104;NAM-LUX 2;6C;185.360 MHz;unknown
6105;LIEGE 1;8D;201.072 MHz;unknown
6106;LIEGE 2;6B;183.648 MHz;unknown
8001;NPO;12C;227.360;unknown
8008;DAB+;11C;220.352 MHz;unknown
8017;7A Zuid NL;7A;188.928 MHz;unknown
