# This collection is a creation of my own. 
# I could not find a free collection of PI-Codes, so this is explicitly compatible with the MIT license. 
# Please help me to complete this free collection.
6301;RADIO 1 ;
6304;STU BRU ;
6306;Qmusic  ;
6071;FANTASY ;
6303;Klara   ;
6354;ZAASTL ?;
6366; BRF1   ;
6367; BRF2   ;
6369;100'5   ;
80E1;PARKSTAD;
8201;NPO R1  ;
8202;NPO R2  ;RADIO 2 ;
8203;NPO-3FM ;
83C8;Qmusic  ;Limburg ;
83D3;100% NL ;
851D;  L1   ?;
D091;LEAMS   ;
D210; Dlf    ;
D391;1LIVE   ;
D392;WDR 2   ;
D393;WDR 3   ;
D394;WDR 4   ;
D395;WDR 5   ;
D57A;ANTENNE ;

# Audit;;;;; 851D,6354
