# This collection is a creation of my own.
# I could not find a free collection of Service IDs, so this is explicitly compatible with the MIT license.
# Please help me to complete this free collection.
# SId;Name;Shortname (PI?);PTY;Bitrate;Encoding;Channels;URI;Streams URI(seperate by spaces with comma _,_);comment
# Test URI seperation for converting to JSON!
# For automatic converting to JSON introduce all other lines with "#". No empty lines allowed.
# Short names should be the right PS in the right position if possible and not longer than eight character.
#
# Germany:
# EId 10BC 
100D;Schwarzwaldradio;unknown;Oldies Music;64 kbps;AAC;Stereo;https://www.schwarzwaldradio.com;http://str31.creacast.com:80/hitradio_ohr_thema1;
10C3;SCHLAGERPARADIES;unknown;National Music;64 kbps;AAC;Stereo;unknown;unknown;
15DC;sunshine live;unknown;Pop Music;72 kbps;AAC;Stereo;https://www.sunshine-live.de;unknown;
15DD;RADIO BOB!;unknown;Rock Music;72 kbps;AAC;Stereo;https://www.radiobob.de;http://streams.radiobob.de/bob-live/mp3-128 , http://streams.radiobob.de/bob-live/mp3-192/mediaplayer;
17FA;Absolut relax;unknown;Pop Music;72 kbps;AAC;Stereo;https://absolutrelax.de/;http://stream.absolutradio.de/relax/mp3-160;
D01C;Radio Horeb;unknown;Religion;48 kbps;AAC;Stereo;unknown;unknown;
D75B;KLASSIK RADIO;unknown;Light Classical;72 kbps;AAC;Stereo;unknown;unknown;
D210;Dlf;unknown;Service Program;104 kbps;AAC;Stereo;https://www.deutschlandfunk.de;http://st01.dlf.de/dlf/01/128/mp3/stream.mp3;
D220;Dlf Kultur;unknown;Culture;112 kbps;AAC;Stereo;https://www.deutschlandfunkkultur.de;http://st02.dlf.de/dlf/02/128/mp3/stream.mp3;
D230;Dlf Nova;unknown;Current Affairs;104 kbps;AAC;Stereo;https://www.deutschlandfunknova.de;http://st03.dlf.de/dlf/03/128/mp3/stream.mp3;
D240;DRadio DokDeb;unknown;Service Program;48 kbps;AAC;Stereo;unknown;http://st04.dlf.de/dlf/04/128/mp3/stream.mp3;
1A45;ENERGY;unknown;Pop Music;72 kbps;AAC;Stereo;unknown;unknown;
1A64;ERF Plus;unknown;Religion;72 kbps;AAC;Stereo;unknown;unknown;
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# EId 10EC
109D;Domradio;unknown;Religion;72 kbps;AAC;Stereo;https://www.domradio.de;http://domradio-mp3-l.akacast.akamaistream.net/7/809/237368/v1/gnl.akacast.akamaistream.net/domradio-mp3-l;
D391;1LIVE;1LIVE;Pop Music;72 kbps;AAC;Stereo;https://www.einslive.de;http://wdr-1live-live.icecast.wdr.de/wdr/1live/live/mp3/128/stream.mp3 , http://www.wdr.de/wdrlive/media/einslive.m3u;
D392;WDR 2 Köln;WDR 2;Pop Music;72 kbps;AAC;Stereo;unknown;unknown;This is the main 'D392=WDR 2'. For the local radio of Cologne it should be 'D992=WDR 2 K'.
D492;WDR 2 AACHEN;WDR 2 AC;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
D592;WDR 2 BIELEFELD;unknown;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
D692;WDR 2 Dortmund;WDR 2 DO;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
D792;WDR 2 Rhein-Ruhr;WDR 2 RR;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
D393;WDR 3;WDR 3;Culture;96 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr3/index.html;unknown;
D394;WDR 4;WDR 4;Oldies Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr4/index.html;unknown;
D395;WDR 5;WDR 5;Science;64 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr5/index.html;unknown;
D496;WDRcosmo;unknown;Pop Music;64 kbps;AAC;Stereo;https://www1.wdr.de/radio/cosmo/index.html;unknown;
DA92;WDR 2 MÜNSTER;unknown;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
DB92;WDR 2 SIEGEN;unknown;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
DC92;WDR 2 WUPPERTAL;unknown;Pop Music;72 kbps;AAC;Stereo;https://www1.wdr.de/radio/wdr2/index.html;unknown;
